20_02_,19_11_,19_12_,19_10_,19_08_,19_09_,20_01_,Average Performance (Whole Season),Median Performance (Whole Season),time
4.166666666666667,1.4166666666666665,-3.25,-4.5555555555555545,-10.208333333333334,-4.166666666666667,-5.5,-3.1567460317460316,-3.7083333333333335,31
4.222222222222222,1.0,-3.0,-5.25,-10.666666666666666,-4.166666666666667,-5.5,-3.3373015873015874,-3.7519841269841274,32
4.166666666666667,0.5833333333333333,-2.777777777777778,-5.833333333333333,-10.666666666666666,-4.25,-5.25,-3.432539682539683,-3.8412698412698414,33
4.166666666666667,0.05555555555555555,-2.6666666666666665,-6.4444444444444455,-10.666666666666666,-4.166666666666667,-5.333333333333333,-3.579365079365079,-3.873015873015873,34
4.055555555555556,-0.41666666666666663,-2.75,-6.833333333333333,-10.0,-3.888888888888889,-5.5,-3.619047619047619,-3.753968253968254,35
3.8333333333333335,-0.611111111111111,-3.0555555555555554,-6.833333333333333,-9.083333333333332,-3.0333333333333337,-5.333333333333333,-3.445238095238095,-3.250396825396825,36
3.583333333333333,-0.27777777777777773,-3.1666666666666665,-6.833333333333333,-8.916666666666668,-1.7777777777777777,-5.166666666666667,-3.2222222222222223,-3.1944444444444446,37
3.3333333333333335,0.5,-3.0,-6.833333333333333,-9.444444444444445,-0.8333333333333333,-5.055555555555556,-3.047619047619048,-3.0238095238095237,38
3.583333333333333,1.1666666666666665,-3.083333333333333,-6.666666666666667,-10.0,-0.29166666666666663,-5.5,-2.970238095238095,-3.026785714285714,39
4.333333333333333,2.2916666666666665,-3.3333333333333335,-6.5,-10.11111111111111,-0.20833333333333331,-6.166666666666666,-2.8134920634920633,-3.0734126984126986,40
3.833333333333333,3.0,-3.3333333333333335,-6.333333333333333,-9.75,0.38888888888888884,-6.5,-2.6706349206349205,-3.001984126984127,41
3.25,3.5,-3.222222222222222,-6.416666666666666,-9.25,1.0,-6.833333333333333,-2.567460317460317,-2.8948412698412698,42
2.666666666666667,3.916666666666667,-3.666666666666667,-6.958333333333334,-8.333333333333334,1.4444444444444444,-7.166666666666667,-2.58531746031746,-3.1259920634920633,43
1.7777777777777777,3.611111111111111,-4.333333333333334,-7.166666666666667,-8.166666666666666,1.6666666666666667,-7.75,-2.908730158730159,-3.6210317460317465,44
1.4166666666666665,3.0,-5.0,-7.166666666666667,-8.166666666666666,1.6666666666666667,-7.833333333333333,-3.154761904761905,-4.0773809523809526,45
1.3333333333333333,1.9333333333333331,-5.583333333333334,-6.722222222222222,-8.0,1.5555555555555556,-7.833333333333333,-3.3309523809523816,-4.457142857142857,46
1.3333333333333333,1.8333333333333333,-6.0,-5.958333333333333,-8.25,1.7777777777777777,-7.666666666666667,-3.2757936507936507,-4.617063492063492,47
1.0833333333333335,2.0,-6.166666666666667,-5.666666666666667,-7.916666666666666,2.1666666666666665,-7.416666666666666,-3.1309523809523805,-4.398809523809524,48
0.5,1.9166666666666665,-6.333333333333333,-5.444444444444444,-7.833333333333333,1.8888888888888886,-6.5,-3.1150793650793647,-4.279761904761904,49
0.0,1.7222222222222223,-6.333333333333333,-5.222222222222222,-7.75,1.3333333333333333,-5.583333333333334,-3.1190476190476195,-4.170634920634921,50
-0.41666666666666663,1.4166666666666665,-5.944444444444444,-5.25,-7.583333333333334,0.7222222222222223,-5.416666666666666,-3.21031746031746,-4.23015873015873,51
-0.5,1.0555555555555556,-5.583333333333334,-5.5,-6.875,-0.25,-5.333333333333333,-3.2837301587301586,-4.308531746031746,52
-0.5,0.16666666666666666,-5.111111111111111,-5.833333333333333,-5.777777777777778,-1.1666666666666665,-5.666666666666666,-3.412698412698412,-4.261904761904761,53
-0.6666666666666666,-0.3333333333333333,-4.25,-5.916666666666666,-5.083333333333334,-1.5,-6.555555555555556,-3.4722222222222223,-3.861111111111111,54
-0.5,-0.3333333333333333,-3.25,-5.833333333333333,-4.75,-1.3333333333333333,-7.583333333333333,-3.369047619047619,-3.3095238095238093,55
-0.37083333333333335,-0.13333333333333333,-2.8333333333333335,-5.833333333333333,-4.738888888888889,-1.2777777777777777,-8.0,-3.3125,-3.072916666666667,56
,,-2.5,-6.111111111111111,,-1.5,-8.083333333333332,-4.548611111111111,-4.548611111111111,57
,,-2.75,-6.5,,-2.125,-7.777777777777778,-4.788194444444445,-4.788194444444445,58
