21_05_,21_04_,21_03_,21_02_,20_12_,20_11_,20_10_,20_09_,Average Performance (Whole Season),Median Performance (Whole Season),time
-7.333333333333333,-2.3333333333333335,2.1666666666666665,-6.777777777777778,-3.9,-4.666666666666667,5.5,-5.0,-2.793055555555555,-3.9,47
-7.666666666666667,-1.75,2.5,-6.555555555555556,-4.0,-4.833333333333333,6.5,-5.708333333333333,-2.689236111111111,-4.0,48
-7.833333333333333,-0.8333333333333333,3.0,-6.5,-3.8333333333333335,-5.0,7.083333333333334,-6.5,-2.552083333333333,-3.8333333333333335,49
-8.0,0.05555555555555555,2.666666666666667,-6.888888888888889,-3.8333333333333335,-5.333333333333334,7.416666666666666,-6.916666666666667,-2.604166666666667,-3.8333333333333335,50
-7.75,0.5,2.5,-7.416666666666666,-3.6666666666666665,-6.0,7.666666666666667,-7.833333333333334,-2.75,-3.6666666666666665,51
-7.166666666666667,1.0,2.8333333333333335,-7.9444444444444455,-3.333333333333333,-6.5,8.0,-8.5,-2.701388888888889,-3.333333333333333,52
-7.0,1.75,3.333333333333333,-8.416666666666668,-2.75,-6.833333333333333,8.416666666666668,-9.458333333333332,-2.6197916666666665,-2.75,53
-7.111111111111112,2.777777777777778,3.8333333333333335,-8.388888888888888,-2.3888888888888893,-6.833333333333333,9.166666666666666,-9.75,-2.3368055555555554,-2.3888888888888893,54
-7.083333333333334,3.25,4.166666666666666,-8.083333333333332,-2.5,-7.111111111111112,10.0,-9.583333333333332,-2.1180555555555554,-2.5,55
-7.0,,4.666666666666666,-7.722222222222222,-3.0555555555555554,-6.833333333333333,10.166666666666666,-9.45,-2.7468253968253973,-4.944444444444445,56
,,5.083333333333334,-7.583333333333334,-3.55,-6.325,10.45,,-0.3850000000000001,-1.9675,57
,,5.583333333333334,-7.4,-3.75,,,,-1.8555555555555554,-2.8027777777777776,58
,,5.775,-7.25,,,,,-0.7374999999999998,-0.7374999999999998,59
,,,,,,,,,,60
,,,,,,,,,,61
,,,,,,,,,,62
,,,,,,,,,,63
,,,,,,,,,,64
,,,,,,,,,,65
,,,,,,,,,,66
