playerName,team,games,goalsPerGame,yellowCards,2mins,redCards
Gomboso Onelio,HSC Suhr Aarau,15,3.5,6,5,0
Rudolf Pablo,HSC Suhr Aarau,18,2.9,2,4,0
Willecke Joël,HSC Suhr Aarau,19,2.7,6,16,0
Vetter Yves,Handball Stäfa,17,2.9,6,11,0
Leopold Noam,Handball Stäfa,10,4.8,2,3,1
Trachsel Oliver,BSV Future Bern,15,3.1,2,5,0
Massatsch Elouan,BSV Future Bern,16,2.9,3,5,0
Savarese Antonio,SG Wädenswil/Horgen 1 +,16,2.9,6,4,0
Antonietti Claudio,SG LakeSide Wacker-Steffisburg,18,2.6,9,17,0
Buholzer Sven,SG Pilatus,18,2.5,2,9,0
Bischofberger Jan,SG Fortitudo Gossau,16,2.6,3,2,0
Zimmermann Robin,GC Amicitia Zürich,15,2.7,0,1,0
Lioi Alessio,Pfadi Winterthur,11,3.6,1,1,0
Karlen Lionel,SG LakeSide Wacker-Steffisburg,18,2.2,2,4,0
Schöni Gregory,SG LakeSide Wacker-Steffisburg,19,2.1,7,12,0
Zamuner Luca,SG Möhlin/ Magden,18,2.2,8,9,0
Angehrn Noel,HSC Suhr Aarau,19,2,6,2,0
Hartmann Joel,SG Pilatus,12,3.1,2,2,0
Widmer Matthias,BSV Future Bern,13,2.8,10,15,0
Bühlmann Gian-Luca,Pfadi Winterthur,9,3.8,2,0,0
Keller Jonas,Kadetten Schaffhausen,13,2.5,4,1,0
Tarneller Gian,Kadetten Schaffhausen,17,1.9,3,5,0
Dörflinger Henri,Pfadi Winterthur,16,2,6,10,0
Erni Jannis,Handball Stäfa,17,1.9,8,8,0
Bieri Thomas,HSC Suhr Aarau,18,1.8,3,5,0
Müller Noël,Pfadi Winterthur,16,1.9,0,1,0
Aleksandric Srdjan,HSG Nordwest,17,1.8,2,2,0
Casillo Benjamin,SG Wädenswil/Horgen 1 +,17,1.8,3,2,1
Franck Laurin Gil Clemens,GC Amicitia Zürich,18,1.7,1,5,0
Rellstab Tim,SG Wädenswil/Horgen 1 +,3,10,1,2,0
Suter Leon,SG Wädenswil/Horgen 1 +,11,2.7,5,4,0
Allemann Jan,BSV Future Bern,17,1.8,7,7,0
Schäppi Jonas,HSG Nordwest,18,1.7,1,5,0
Mai Martin,SG Pilatus,12,2.3,0,1,0
Michálek Filip Jan,BSV Future Bern,12,2.3,0,0,0
Yesilöz Aram,Pfadi Winterthur,18,1.6,10,11,0
Rügge Marc Rolf,SG Fortitudo Gossau,17,1.6,3,7,0
Trindade Botelho Tiago,HSC Suhr Aarau,19,1.4,4,2,0
Lagler Jonas,Kadetten Schaffhausen,13,2,6,11,0
Metzger Fabio,SG Möhlin/ Magden,15,1.7,3,2,0
Marti Rouven,SG LakeSide Wacker-Steffisburg,16,1.6,1,4,0
Linder Manuel,SG Wädenswil/Horgen 1 +,9,2.8,3,2,0
Oppliger Jan,HSC Suhr Aarau,18,1.4,2,4,0
Kägi Fadri,Handball Stäfa,6,4,3,9,0
Ehrat Fabian,Kadetten Schaffhausen,16,1.5,1,1,0
Rilak Gregor,Kadetten Schaffhausen,7,3.3,0,3,0
Honegger Luc,Handball Stäfa,8,2.9,2,3,0
Von der Mühll Timon,HSC Suhr Aarau,9,2.6,2,2,0
Gorlé Joël,Handball Stäfa,11,2.1,0,1,0
Peyer Joel,SG Fortitudo Gossau,15,1.5,6,10,0
Külling Mirco,HSC Suhr Aarau,14,1.5,3,7,0
Metter Roman,HSG Nordwest,16,1.3,4,4,0
Gloor Wesley,HSC Suhr Aarau,5,3.8,3,1,0
Beer Samuel,Handball Stäfa,11,1.7,0,2,0
Trachsler Micha Nikola,GC Amicitia Zürich,16,1.2,11,8,0
Martis Linard,Handball Stäfa,10,1.8,1,3,0
Zaugg Silas Domenic,HSG Nordwest,17,1.1,1,5,0
Schelker Benjamin,Kadetten Schaffhausen,6,2.8,0,0,0
Jegge Nico,SG Möhlin/ Magden,11,1.5,2,1,0
Fassmann Cyril,SG LakeSide Wacker-Steffisburg,14,1.2,5,6,0
Vonplon Clemens,GC Amicitia Zürich,17,1,5,9,0
Christen Keanu,SG LakeSide Wacker-Steffisburg,18,0.9,3,3,0
Kunz Tim,BSV Future Bern,13,1.2,0,3,0
Oertli Moritz,SG Pilatus,4,3.8,2,1,0
Dürger Lou,SG Pilatus,11,1.4,4,7,0
Meister Elia,HSG Nordwest,13,1.2,0,1,0
Gross Lars,Kadetten Schaffhausen,17,0.9,0,0,0
Neuenschwander Dominic,SG LakeSide Wacker-Steffisburg,17,0.9,4,3,0
Klingler Noah,SG Wädenswil/Horgen 1 +,12,1.2,3,0,0
Pfister Flurin,Pfadi Winterthur,12,1.2,4,5,1
Stadler Yanik,SG Fortitudo Gossau,12,1.2,0,1,0
Küttel Janik,HSC Suhr Aarau,14,1,1,1,0
John Nelio,HSG Nordwest,15,0.9,2,2,0
Beqiri Ardit,GC Amicitia Zürich,18,0.8,5,14,0
Bohli Eric,GC Amicitia Zürich,3,4.3,2,1,0
Römer Flavian,SG LakeSide Wacker-Steffisburg,7,1.9,1,2,0
Meier Lorin,Kadetten Schaffhausen,17,0.8,1,3,0
Attenhofer Gian,HSG Nordwest,3,4,1,3,0
Bachmann Jonas,SG Wädenswil/Horgen 1 +,10,1.2,0,0,0
Tarabini Castellani Raphael,SG Wädenswil/Horgen 1 +,13,0.9,7,3,0
Kovacevic Matteo,SG Pilatus,17,0.7,1,4,0
Zollinger Patrick,Handball Stäfa,7,1.6,5,5,0
Mahrer Valentin,SG Möhlin/ Magden,11,1,4,3,0
Wehrli Roy-Lando,Kadetten Schaffhausen,12,0.9,5,7,1
Tanner Ramon,Handball Stäfa,14,0.8,0,0,0
Egli Eric,Pfadi Winterthur,15,0.7,0,2,0
Jenk Patrick,BSV Future Bern,16,0.7,0,1,0
Zeltner Manuel Rio,BSV Future Bern,15,0.7,3,4,0
Kull Fabio,HSG Nordwest,5,2,0,1,0
Lüthi Timo,BSV Future Bern,5,2,1,1,0
Baumann Yanic Simon,SG LakeSide Wacker-Steffisburg,9,1.1,1,3,1
Dragusica Martin,SG Wädenswil/Horgen 1 +,10,1,1,10,0
Dittert Tim,Pfadi Winterthur,13,0.8,0,1,0
Gassmann Tim,HSG Nordwest,15,0.7,1,4,1
Sostizzo Aurel,SG Fortitudo Gossau,14,0.7,4,8,0
Mosimann Damian,SG Fortitudo Gossau,9,1,0,6,0
Fäh Jaro Robin,GC Amicitia Zürich,11,0.8,3,7,0
Zeller Leander,Handball Stäfa,11,0.8,2,2,0
Schärer Florian,SG Möhlin/ Magden,14,0.6,2,4,0
Verlezza Simon,SG Fortitudo Gossau,16,0.6,2,1,0
Janchev Mateo,BSV Future Bern,17,0.5,0,2,0
Corluka Ivan,BSV Future Bern,4,2,4,5,0
Schümperli Jacob,SG Wädenswil/Horgen 1 +,9,0.9,0,0,0
Masic Fikret,SG Pilatus,17,0.5,1,0,0
Salzgeber Till,SG Möhlin/ Magden,17,0.5,1,1,0
Dubi Nico,HSC Suhr Aarau,5,1.4,0,0,0
Gulino Alessandro,SG Wädenswil/Horgen 1 +,11,0.6,0,1,0
Zimmermann Nikolai,BSV Future Bern,11,0.6,0,0,0
Idrizi Ammar,SG Pilatus,1,6,0,0,0
Cikotic Annan,SG Wädenswil/Horgen 1 +,7,0.7,0,1,0
Mores Marco,Handball Stäfa,7,0.7,1,0,0
Bettenmann Reto,SG Fortitudo Gossau,11,0.5,0,0,0
Egli Nicolas,Handball Stäfa,10,0.5,0,0,0
Müller Manuel,GC Amicitia Zürich,12,0.4,0,1,0
Rohr Marc,SG Möhlin/ Magden,12,0.4,4,6,0
Scheidiger Jannis,HSG Nordwest,19,0.3,0,0,0
Schmid Dominik Thomas,SG Möhlin/ Magden,15,0.3,0,2,0
Thümena Yann,GC Amicitia Zürich,1,4,0,0,0
Lehmann Flavio,BSV Future Bern,2,2,0,0,0
Rothlin Delaja,SG Wädenswil/Horgen 1 +,4,1,1,0,0
Rudolf Patrick,HSC Suhr Aarau,4,1,0,0,0
Nilles Lennert,GC Amicitia Zürich,17,0.2,1,3,0
Seifert Damian,HSC Suhr Aarau,17,0.2,0,0,0
Buholzer Nick,SG Pilatus,1,3,0,0,0
Gerber Moritz Niklaus,BSV Future Bern,1,3,1,0,0
Gnehm Timon,HSC Suhr Aarau,1,3,0,0,0
Antelmann Nils,GC Amicitia Zürich,2,1.5,0,0,0
Kreuzer Finn,HSC Suhr Aarau,3,1,0,0,0
Röttges Finley,SG Pilatus,3,1,2,2,0
Sigrist Nicola,SG Pilatus,3,1,0,2,0
Heimberg Fabian,HSG Nordwest,4,0.8,0,0,0
Zumbrunn Oliver,Pfadi Winterthur,5,0.6,1,1,0
Brülisauer Jan,SG Fortitudo Gossau,6,0.5,0,4,0
Büsching Jan,HSC Suhr Aarau,11,0.3,0,0,0
Flütsch Raphael,SG Wädenswil/Horgen 1 +,9,0.3,1,1,0
Giudici Matteo Lukasz,Kadetten Schaffhausen,11,0.3,1,2,0
Gönültas Enver,SG Fortitudo Gossau,12,0.3,1,0,0
Hofmann Julian,Handball Stäfa,9,0.3,1,2,0
Hottinger Noé,Kadetten Schaffhausen,12,0.3,0,1,0
Karthigaikumar Siyananth,SG Möhlin/ Magden,11,0.3,0,1,0
Bachmann Roman,GC Amicitia Zürich,18,0.2,0,1,0
Manser Raffael,SG Fortitudo Gossau,1,2,0,0,0
Annen Tim,SG Pilatus,2,1,0,0,0
Nassereddine Houssen,Kadetten Schaffhausen,2,1,0,2,0
Stöckli Cédric,HSG Nordwest,2,1,0,1,0
Stüdemann von Ehrenstein Federico Jens,Kadetten Schaffhausen,2,1,0,0,0
Besek Gilles Aimé,GC Amicitia Zürich,3,0.7,0,0,0
Meier Lars Andreas,Handball Stäfa,3,0.7,0,0,0
Wolf Patrick Stephan,SG LakeSide Wacker-Steffisburg,4,0.5,1,1,0
Wespi Tim,HSG Nordwest,5,0.4,0,0,0
Mrkonjic Emir,GC Amicitia Zürich,6,0.3,0,0,0
Portner Silvan,SG Pilatus,7,0.3,2,3,0
Kuster Noël,SG LakeSide Wacker-Steffisburg,10,0.2,3,4,0
Moor Nathanael,SG Möhlin/ Magden,10,0.2,0,1,0
Schoch Florin,Pfadi Winterthur,11,0.2,2,3,0
Schurter Jens,Pfadi Winterthur,11,0.2,0,0,0
Zuege Tim,SG LakeSide Wacker-Steffisburg,10,0.2,0,0,0
Kusnandar Ramon,Handball Stäfa,16,0.1,0,0,0
Schmitt Luca,SG Pilatus,17,0.1,0,0,0
Sokcevic Luka,SG Wädenswil/Horgen 1 +,18,0.1,0,0,0
Albrecht Matteo,SG Wädenswil/Horgen 1 +,1,1,0,1,0
Jenny Jonas,SG Wädenswil/Horgen 1 +,1,1,0,0,0
Schönholzer Pascal,SG Wädenswil/Horgen 1 +,1,1,0,0,0
Klos Fabian,Pfadi Winterthur,2,0.5,0,0,0
Scorrano Tiziano,SG Pilatus,2,0.5,0,0,0
Spörndli Gian,Handball Stäfa,2,0.5,0,0,0
Aragón Brenner Levin Rubén,Kadetten Schaffhausen,3,0.3,0,0,0
Eichholzer Fadri,Handball Stäfa,3,0.3,0,0,0
Mitrovic Luka,SG Fortitudo Gossau,3,0.3,0,0,0
Pintarelli Cedric,SG Fortitudo Gossau,4,0.3,0,2,0
Räther Jonas,SG Möhlin/ Magden,4,0.3,0,0,0
Schönholzer Alex,SG Wädenswil/Horgen 1 +,3,0.3,0,0,0
Wiederkehr Cyrill,SG Wädenswil/Horgen 1 +,4,0.3,0,0,0
Davis Oskar Lynwood,SG Pilatus,6,0.2,0,0,0
Ruh Dominik,Pfadi Winterthur,5,0.2,0,1,0
Brändle Fabio,BSV Future Bern,17,0.1,0,0,0
Fuhrer Luca,HSG Nordwest,12,0.1,1,2,0
Hug Sascha Marius,SG LakeSide Wacker-Steffisburg,8,0.1,0,1,0
Mitrovic Nikola,GC Amicitia Zürich,12,0.1,0,2,0
Niedermann Lars,SG Fortitudo Gossau,16,0.1,0,0,0
Santeler Robin,HSG Nordwest,17,0.1,0,0,0
Vorlet Dario,Pfadi Winterthur,17,0.1,0,0,0
Zeller Fabian,Kadetten Schaffhausen,7,0.1,0,0,0
Bamert Jann,GC Amicitia Zürich,2,0,0,0,0
Brenzikofer André,SG LakeSide Wacker-Steffisburg,9,0,0,0,0
Cachin Philippe,GC Amicitia Zürich,18,0,0,0,0
Coetermans Jonas,SG Möhlin/ Magden,14,0,0,0,0
Conscience Cyrill,SG Fortitudo Gossau,1,0,0,0,0
Dubach Cyrill,SG LakeSide Wacker-Steffisburg,4,0,0,0,0
Ebner Leo Aliou,SG LakeSide Wacker-Steffisburg,1,0,0,0,0
Fischer Yannik,BSV Future Bern,1,0,0,0,0
Gerber Alain Simon,SG LakeSide Wacker-Steffisburg,11,0,0,0,0
Hohl Roman,GC Amicitia Zürich,1,0,0,0,0
Indov Leon,Handball Stäfa,10,0,0,0,0
Kocher Roman,SG LakeSide Wacker-Steffisburg,3,0,0,0,0
Köppel Tim Raphael,SG Wädenswil/Horgen 1 +,4,0,0,0,0
Köstinger Tobias,SG Wädenswil/Horgen 1 +,3,0,0,0,0
Kouachi Selyan,SG Möhlin/ Magden,5,0,1,0,0
Litscher Can,Kadetten Schaffhausen,1,0,0,0,0
Mattioli Mauro,SG Fortitudo Gossau,1,0,0,0,0
Mau Felix,SG Pilatus,2,0,1,1,0
Metzger Tim,SG Möhlin/ Magden,4,0,0,0,0
Müller Jonas Gabriel,Pfadi Winterthur,1,0,0,0,0
Pantelic Viktor,HSC Suhr Aarau,7,0,0,0,0
Ramos Alexandre,Handball Stäfa,2,0,0,0,0
Riesen Pascal,BSV Future Bern,6,0,0,0,0
Riond Jannick,Pfadi Winterthur,17,0,0,0,0
Römer Leandro Maurin,SG LakeSide Wacker-Steffisburg,1,0,0,0,0
Rüedi Lukas,Handball Stäfa,1,0,0,0,0
Rüedi Markus,Handball Stäfa,4,0,0,0,0
Schäpper Marcel Jonas,Pfadi Winterthur,1,0,0,0,0
Schär Severin,HSC Suhr Aarau,1,0,0,0,0
Schönenberger Nick Andreas,SG Fortitudo Gossau,14,0,0,0,0
Schwizer Moris,HSG Nordwest,2,0,0,0,0
Seravalli Mathieu,BSV Future Bern,9,0,0,0,0
Spirgi Lou,Kadetten Schaffhausen,6,0,0,0,0
Stalder Dennis,SG Möhlin/ Magden,14,0,0,1,0
Zemp Luis,SG Pilatus,18,0,0,0,0
Zwahlen David Jon,SG Möhlin/ Magden,2,0,0,1,0
