playerName,team,games,goalsPerGame,yellowCards,2mins,redCards
Besek Alex Merlin,GC Amicitia Zürich,16,4.3,4,0,0
Wehrli Neo Timeus Gawain,Kadetten Schaffhausen,17,4.1,0,5,0
Esposto Ramon,SG Horgen/ Wädenswil 1,18,3.7,5,6,0
Locher Joel,TSV Fortitudo Gossau,9,7.2,7,15,0
Egli Lukas Charles,SG OHA,19,3.4,5,8,0
Schranz Louis Orlando,SG LakeSide Wacker-Steffisburg,15,4.3,3,3,0
Gerber Marvin,HSG Nordwest,12,5.3,4,2,0
Müller Silas,Kadetten Schaffhausen,18,3.5,11,18,0
Racic Alex,GC Amicitia Zürich,18,3.5,3,7,0
Bär Valentin Mikòs,GC Amicitia Zürich,17,3.6,8,15,0
Rüegg Milo Falcun Odin,GC Amicitia Zürich,17,3.6,9,5,0
Köchli Robin Andri,HSG Aargau Ost,19,3.2,7,8,0
Bruggmann Damian,TSV Fortitudo Gossau,17,3.5,4,4,0
Hintermann Kimi,HSG Aargau Ost,19,3.1,7,5,0
Kobler Etienne,TSV Fortitudo Gossau,17,3.4,2,4,0
Mierzwa Niclas,Pfadi Winterthur,17,3.3,2,2,0
Boss Luis Marc,HSG Nordwest,19,2.9,10,5,0
Hufnagel Leon,Kadetten Schaffhausen,18,3,5,2,0
Pietrek Valentin,HSG Nordwest,16,3.3,0,1,0
Suter Alexis Philipp Patrick,Handball Stäfa,18,2.8,4,2,0
Schönholzer Lukas Jeroen,Pfadi Winterthur,18,2.8,11,12,0
Halbeisen Adrian,SG OHA,15,3.3,7,3,0
Frei Jonas,HSG Aargau Ost,17,2.9,8,14,0
Brühlmann Noah Timon,SG Horgen/ Wädenswil 1,14,3.4,5,3,0
D'Agostino Lucio,SG OHA,12,3.8,3,1,0
Hofer Benjamin Balthasar,GC Amicitia Zürich,15,3,0,5,0
Bukovac Noah,Kadetten Schaffhausen,18,2.5,6,10,0
Roth Dominik,SG LakeSide Wacker-Steffisburg,19,2.3,7,9,0
Sekta Mahmoud Salah,Handball Stäfa,13,3.3,3,4,0
Koch Loris,HSG Aargau Ost,19,2.2,6,8,0
Sohrmann Lukas,HSG Nordwest,18,2.3,6,3,0
Sach Mischa,Handball Stäfa,16,2.5,11,5,0
Aellen Wyatt Neil,SG Pilatus,17,2.3,3,3,0
Kilic Kerem Cemal,SG OHA,18,2.2,2,5,0
Giudici Daniele Jacek,Kadetten Schaffhausen,12,3.2,0,4,0
Tüller Jan Eliah,GC Amicitia Zürich,17,2.2,3,2,0
Preisig Keichi Ueli,TSV Fortitudo Gossau,16,2.3,1,1,0
Gallati Elias,SG Pilatus,16,2.2,5,2,0
Miesch Timo Jan,HSG Nordwest,16,2.2,2,5,0
Albrecht Maximilian Benedikt,SG Horgen/ Wädenswil 1,18,1.9,5,3,0
Urwyler Tanush Lawrence,BSV Future Bern,18,1.9,8,1,0
Etter Gianluca,Handball Stäfa,11,3.1,1,2,0
Kamerling Tim,Handball Stäfa,15,2.3,0,4,0
Wiederkehr Lino,HSG Aargau Ost,17,2,6,6,0
Traber Jakob Elias,Pfadi Winterthur,18,1.9,4,9,0
Eugster Pascal,SG OHA,19,1.8,6,12,0
Hochuli Rino,SG Pilatus,14,2.4,3,1,0
Karlen Jean-Baptiste,SG LakeSide Wacker-Steffisburg,14,2.4,3,3,0
Schmidt Finn,SG Pilatus,17,1.9,7,5,0
Blanck Finn Luc,Kadetten Schaffhausen,14,2.3,1,5,0
Bolt Noah,SG OHA,16,2,2,2,0
Lädrach Gregory Levin,SG LakeSide Wacker-Steffisburg,17,1.9,5,7,0
Balmer Gregory Nils,HSG Aargau Ost,19,1.7,0,1,0
Opladen Zeno Manek,BSV Future Bern,10,3.1,5,1,0
Christ Luk Noah,HSG Nordwest,19,1.6,0,0,0
Gassmann Jan Philipe,HSG Nordwest,16,1.9,5,16,0
Gorlé Nevio Tim,Handball Stäfa,8,3.6,1,0,0
Egger Benedikt,SG OHA,12,2.2,0,1,0
Mombächer Nils,SG Horgen/ Wädenswil 1,16,1.6,4,0,0
Bettenmann Balz,SG OHA,17,1.5,3,2,0
Pfründer Damian Rafael,TSV Fortitudo Gossau,17,1.5,5,5,0
Schurtenberger Jan,BSV Future Bern,18,1.4,5,9,0
Prince Yari Moriano Claude,Kadetten Schaffhausen,18,1.4,3,5,0
Etter Matteo Elias,TSV Fortitudo Gossau,6,4,3,3,0
Ugiagbe Manoy Osakpolor,Pfadi Winterthur,9,2.7,2,2,0
Ashinze Noah David Eso,Pfadi Winterthur,14,1.6,8,11,0
Dechant Maxim Nando Augustus,Pfadi Winterthur,16,1.4,0,0,0
Amberg Pascal,SG Horgen/ Wädenswil 1,17,1.3,1,4,0
Frick Christoph,TSV Fortitudo Gossau,17,1.2,3,0,0
Merlo Keanu Tom,GC Amicitia Zürich,11,1.8,0,3,0
Toth Marc,BSV Future Bern,17,1.2,2,4,0
Rusch David,SG LakeSide Wacker-Steffisburg,18,1.1,5,2,0
Frank Henrik Reto,SG Horgen/ Wädenswil 1,17,1.1,1,3,0
Wynistorf Serge,BSV Future Bern,18,1.1,5,5,0
Steiner Marc,SG Pilatus,9,1.8,1,1,0
Stromer Alex,Handball Stäfa,12,1.3,3,3,0
Schnyder Leo,SG Pilatus,14,1.1,1,0,0
Spörndli Cyril,Handball Stäfa,17,0.9,2,0,0
Nikic Noel Banjamin,SG Pilatus,6,2.3,1,0,0
Häfliger Dario,TSV Fortitudo Gossau,15,0.9,1,7,0
Niederer Nevio,TSV Fortitudo Gossau,15,0.9,2,7,0
Koblet Loris,Pfadi Winterthur,18,0.8,3,3,0
Zeder Jascha,BSV Future Bern,18,0.8,0,2,0
van den Nobelen Robin Till,SG LakeSide Wacker-Steffisburg,17,0.8,2,2,0
Wüthrich Levin Sascha,Kadetten Schaffhausen,10,1.2,2,0,0
Christen Janis,SG Horgen/ Wädenswil 1,13,0.9,1,0,0
Kyburz Marius Laurin,Pfadi Winterthur,18,0.7,0,0,0
Böhler Lorin,SG OHA,8,1.4,0,1,0
Burmester Loris,SG Horgen/ Wädenswil 1,11,1,3,0,0
Wehrli Ramun,Pfadi Winterthur,12,0.9,1,3,0
Arpagaus Gian,SG OHA,13,0.8,0,3,0
Wellauer Jari Simo,HSG Nordwest,13,0.8,0,0,0
Neiger Dominic,SG LakeSide Wacker-Steffisburg,17,0.6,3,2,0
Bagger Aleksander Aavad,HSG Nordwest,5,2,1,0,0
Marcinkevicius Vilius,Kadetten Schaffhausen,7,1.4,0,3,0
Hedinger Johannes Markus,Kadetten Schaffhausen,13,0.8,1,4,0
Sutter Fabio,TSV Fortitudo Gossau,17,0.6,7,7,0
Werthmüller Pablo,HSG Nordwest,7,1.3,0,0,0
Appenzeller Nils Andrin,HSG Nordwest,9,1,2,1,0
Speicher Manuel,Kadetten Schaffhausen,10,0.9,1,1,0
Dietler Jonas Enea,HSG Nordwest,13,0.7,1,1,0
Frischknecht Lasse,SG LakeSide Wacker-Steffisburg,13,0.7,1,2,0
Zwygart Eric Maurice,BSV Future Bern,15,0.6,2,1,0
Devaux Noel,BSV Future Bern,17,0.5,0,0,0
Voskamp Sammy,HSG Nordwest,9,0.9,1,2,0
Marthaler Ivan,SG LakeSide Wacker-Steffisburg,17,0.5,0,0,0
Süess Lukas,SG Pilatus,16,0.5,2,4,0
Weyrich Gian-Luca,BSV Future Bern,15,0.5,0,0,0
Medvedev Platon,SG OHA,9,0.8,0,1,0
Graber Niklas,SG Pilatus,11,0.6,0,1,0
Müller Laurin,TSV Fortitudo Gossau,12,0.5,2,6,0
Petrig Yannik,GC Amicitia Zürich,12,0.5,0,1,0
Vanev Nik,GC Amicitia Zürich,1,5,0,0,0
Oesch Tim,BSV Future Bern,4,1.3,2,1,0
Buob Gilles Alexander,GC Amicitia Zürich,12,0.4,1,3,0
Majewski Julius Alexander,HSG Nordwest,12,0.4,0,0,0
Stirnimann Janis Gabriel,SG Horgen/ Wädenswil 1,13,0.4,0,0,0
Fischer Yannik,BSV Future Bern,18,0.3,0,0,0
Andreatta Till,HSG Aargau Ost,7,0.6,1,1,0
Bengtsson Jonatan Nils Paul,Kadetten Schaffhausen,7,0.6,2,2,0
Doudu Timon Kojo,SG Pilatus,8,0.5,0,1,0
Fonseca Leonardo Manuel,GC Amicitia Zürich,8,0.5,1,1,0
Ellenberger Luis,SG Horgen/ Wädenswil 1,12,0.3,0,1,0
Achermann Kevin,SG Pilatus,4,0.8,0,0,0
Petric Adam Manuel,Kadetten Schaffhausen,4,0.8,1,0,0
Rochaix Marc,Handball Stäfa,4,0.8,0,0,0
Wolfer Flori,GC Amicitia Zürich,4,0.8,1,1,0
Forster Nick Marius,GC Amicitia Zürich,6,0.5,0,1,0
Widmer Lars Laurin,SG OHA,8,0.4,0,2,0
Klaeser Valentin Alexander,SG LakeSide Wacker-Steffisburg,11,0.3,1,0,0
Schwarz Mathis Andrin,SG OHA,19,0.2,0,1,0
Alevrofas Aaron,HSG Aargau Ost,2,1,0,0,0
Brogiolo Davino,SG OHA,2,1,0,0,0
Landolt Timon Koni,Kadetten Schaffhausen,3,0.7,0,0,0
Lüthi Alessandro,BSV Future Bern,3,0.7,0,1,0
Raschle Florian,Kadetten Schaffhausen,3,0.7,1,0,0
Haudenschild Mathieu Aaron,SG Horgen/ Wädenswil 1,6,0.3,1,0,0
Roth Yuval,Handball Stäfa,8,0.3,0,0,0
Marta Alessandro,GC Amicitia Zürich,9,0.2,0,3,0
Küffer Noah,TSV Fortitudo Gossau,16,0.1,0,0,0
Benchegra Salim,Pfadi Winterthur,2,0.5,0,0,0
Dähler Nicolas,SG LakeSide Wacker-Steffisburg,2,0.5,0,0,0
Fischer Levin,SG OHA,2,0.5,0,0,0
Gahler Fabio,SG OHA,4,0.3,0,0,0
Mrkonjic Eldin,GC Amicitia Zürich,3,0.3,0,0,0
Blaydes Finley Nicholas,GC Amicitia Zürich,14,0.1,0,0,0
Fürst Silvan Andrin,Handball Stäfa,14,0.1,0,0,0
Haas Lino,SG Pilatus,14,0.1,0,0,0
Aubert Marceau Colin,HSG Aargau Ost,1,0,0,0,0
Bahaoui Elias Moritz,SG Horgen/ Wädenswil 1,1,0,0,0,0
Baros Dusan,HSG Aargau Ost,18,0,0,0,0
Britt Nils,BSV Future Bern,18,0,0,1,0
Brogle Laurin Javier,HSG Nordwest,2,0,0,0,0
Brunner Leandro Marcos,Kadetten Schaffhausen,10,0,0,0,0
Cachin André,GC Amicitia Zürich,17,0,0,0,0
Camastral Corsin,Pfadi Winterthur,2,0,0,1,0
Cortico De La Rosa Ismael,HSG Nordwest,3,0,0,0,0
Deuber Simon Andri,SG Horgen/ Wädenswil 1,3,0,0,0,0
Erni Simon,HSG Aargau Ost,1,0,0,0,0
Frank Ramón Stefan,SG Horgen/ Wädenswil 1,16,0,0,0,1
Frei Loris,Pfadi Winterthur,18,0,0,0,0
Gatti Eric,Handball Stäfa,2,0,0,0,0
Gomez Grieder Noah Kailash,HSG Nordwest,15,0,0,0,0
Grandi Davide,SG LakeSide Wacker-Steffisburg,6,0,0,0,0
Hase Jasper,HSG Aargau Ost,1,0,0,0,0
Hecker Tim Gerd,Kadetten Schaffhausen,14,0,0,0,0
Hilfiker Linus,HSG Nordwest,1,0,0,0,0
Horsch Marc,Handball Stäfa,17,0,0,0,0
Kauflin David,Handball Stäfa,2,0,0,0,0
Knüsli Florian Stefan,SG OHA,13,0,0,0,0
Koç Civan Melik,Pfadi Winterthur,7,0,0,1,0
Kölbener Nils Eric,SG OHA,6,0,1,0,0
Kottmann Finn,SG Pilatus,16,0,0,0,0
Kusnandar Ramon,Handball Stäfa,1,0,0,0,0
Leo Virisario Andrin,HSG Nordwest,1,0,0,0,0
Leuenberger Timon,SG LakeSide Wacker-Steffisburg,13,0,0,0,0
Marchesi Fabiano,Pfadi Winterthur,4,0,0,0,0
Marzluf Victor,Pfadi Winterthur,1,0,0,0,0
Rechsteiner Andrin,Handball Stäfa,1,0,0,0,0
Rechsteiner Raphael Sebastian,HSG Aargau Ost,1,0,0,0,0
Röttges Neil Fentin,SG Pilatus,1,0,0,0,0
Schönthal Jeremy Angelo,SG OHA,3,0,0,0,0
Schurter Naum Konstantin,TSV Fortitudo Gossau,16,0,0,0,0
Schwyn Yanik,Kadetten Schaffhausen,1,0,0,0,0
Setalo David,HSG Nordwest,19,0,0,0,0
Sostizzo Jamil Noé,TSV Fortitudo Gossau,3,0,0,0,0
Spingler Yannick Fabio,Kadetten Schaffhausen,8,0,0,0,0
Strauss André Fabian,Kadetten Schaffhausen,4,0,0,0,0
Strüby Yanis,Pfadi Winterthur,3,0,0,0,0
Thumann Leopold Ludwig Emil,HSG Aargau Ost,18,0,0,1,0
Wyss Hannes Aimo,SG Pilatus,1,0,0,0,0
Zeltner Tobias Andrin,BSV Future Bern,2,0,0,0,0
Zilic Marko,SG LakeSide Wacker-Steffisburg,14,0,0,0,0
