22_09_,23_02_,23_04_,22_10_,22_12_,23_01_,23_03_,22_08_,22_11_,Average Performance (Whole Season),Median Performance (Whole Season),time
-2.4444444444444446,0.41666666666666663,-0.75,-8.5,2.25,-5.833333333333334,-2.916666666666667,-8.166666666666666,-1.3333333333333333,-3.030864197530864,-2.680555555555556,16
-2.25,0.3333333333333333,-0.4444444444444444,-9.416666666666668,2.8333333333333335,-6.5,-3.3333333333333335,-8.583333333333332,-1.0833333333333335,-3.1604938271604937,-2.705246913580247,17
-2.555555555555556,0.3333333333333333,0.3333333333333333,-9.416666666666668,2.75,-7.0,-3.6666666666666665,-8.555555555555555,-0.7777777777777778,-3.17283950617284,-2.864197530864198,18
-3.25,0.5,1.0833333333333335,-8.916666666666668,2.4444444444444446,-7.708333333333332,-3.9444444444444446,-8.5,-0.6666666666666666,-3.2175925925925926,-3.2337962962962963,19
-4.75,0.41666666666666663,1.3333333333333333,-8.75,2.3333333333333335,-8.333333333333332,-3.8333333333333335,-9.0,-0.9444444444444443,-3.503086419753086,-3.6682098765432096,20
-6.633333333333333,0.5833333333333333,1.1666666666666667,-8.916666666666668,2.6666666666666665,-8.666666666666666,-3.583333333333333,-10.61111111111111,-2.125,-4.0132716049382715,-3.7983024691358023,21
-7.444444444444444,0.6666666666666666,1.1666666666666667,-9.083333333333334,3.0,-8.666666666666666,-3.277777777777778,-11.666666666666666,-2.916666666666667,-4.246913580246914,-3.7623456790123457,22
-7.416666666666666,0.6666666666666666,1.5,-9.083333333333332,3.416666666666667,-8.833333333333334,-3.25,-11.75,-2.75,-4.166666666666667,-3.7083333333333335,23
-7.416666666666666,0.16666666666666666,1.8333333333333333,-9.5,3.8888888888888893,-8.833333333333334,-3.4444444444444446,-12.166666666666666,-2.25,-4.1913580246913575,-3.817901234567901,24
-8.111111111111112,-0.75,2.4166666666666665,-10.0,4.25,-9.0,-4.25,-12.666666666666668,-2.1666666666666665,-4.4753086419753085,-4.362654320987654,25
-8.833333333333332,-1.75,3.0,-10.5,4.333333333333333,-9.277777777777779,-4.833333333333333,-13.555555555555555,-2.5416666666666665,-4.8842592592592595,-4.858796296296296,26
-9.6,-2.8333333333333335,3.1666666666666665,-11.055555555555557,3.8333333333333335,-9.722222222222221,-5.083333333333334,-14.458333333333334,-2.8333333333333335,-5.398456790123458,-5.240895061728396,27
-9.666666666666666,-3.6666666666666665,3.25,-11.277777777777779,4.0,-10.75,-5.111111111111112,-14.541666666666666,-3.25,-5.66820987654321,-5.389660493827161,28
-9.5,-4.166666666666666,3.6111111111111107,-11.0,4.583333333333334,-11.5,-4.833333333333333,-15.166666666666668,-3.75,-5.746913580246914,-5.290123456790123,29
-9.200000000000001,-5.0,4.0,-10.888888888888891,5.125000000000001,-11.25,-4.5,-15.5,-4.166666666666667,-5.70895061728395,-5.354475308641975,30
-8.833333333333334,-5.5,4.5,-10.611111111111109,5.277777777777778,-11.0,-3.8333333333333335,-16.166666666666668,-4.555555555555556,-5.635802469135802,-5.567901234567901,31
-8.958333333333334,-5.5,4.944444444444444,-10.61111111111111,5.5,-10.833333333333334,-3.166666666666667,-17.166666666666668,-4.583333333333334,-5.597222222222223,-5.548611111111112,32
-10.033333333333335,-5.5,4.833333333333333,-10.444444444444445,6.633333333333335,-10.0,-2.583333333333333,-17.5,-4.166666666666667,-5.417901234567901,-5.45895061728395,33
-11.124999999999998,-5.388888888888888,4.666666666666667,-10.083333333333332,7.916666666666666,-9.333333333333334,-2.3333333333333335,-16.88888888888889,-4.0,-5.174382716049383,-5.281635802469136,34
-10.888888888888891,-6.0,4.333333333333333,-10.166666666666666,8.11111111111111,-9.333333333333334,-2.1666666666666665,-16.1,-3.916666666666667,-5.12530864197531,-5.562654320987654,35
-11.083333333333332,-6.333333333333333,4.0,-10.083333333333332,7.75,-9.583333333333332,-2.4444444444444446,,-3.8333333333333335,-3.951388888888888,-3.951388888888888,36
-12.0,-6.833333333333333,3.8333333333333335,-10.0,7.333333333333333,-10.166666666666666,-2.75,,-4.0,-4.322916666666666,-4.322916666666666,37
-13.5,-6.833333333333333,3.75,-10.0,7.416666666666666,-10.166666666666666,-2.8888888888888893,,-4.083333333333334,-4.538194444444445,-4.538194444444445,38
-15.0,-6.583333333333334,4.166666666666666,-10.388888888888888,7.583333333333334,-10.0,-2.583333333333333,,-4.583333333333334,-4.673611111111112,-4.673611111111112,39
-16.5,-6.333333333333333,4.888888888888889,-11.5,7.583333333333334,-10.0,-2.25,,-4.555555555555556,-4.833333333333333,-4.833333333333333,40
-18.166666666666664,-6.111111111111112,5.5,-12.277777777777779,6.944444444444444,-9.916666666666666,-2.222222222222222,,-4.083333333333334,-5.041666666666667,-5.041666666666667,41
-19.833333333333336,-6.222222222222222,6.333333333333334,-12.333333333333334,6.666666666666667,-9.555555555555555,-2.5,,-3.777777777777778,-5.152777777777778,-5.152777777777778,42
-21.25,-6.5,7.333333333333333,-12.416666666666668,7.1,-9.833333333333334,-2.5,,-3.6666666666666665,-5.216666666666667,-5.216666666666667,43
-23.222222222222225,-6.666666666666667,7.722222222222222,-12.766666666666667,6.777777777777779,-9.75,-1.916666666666667,,-3.5,-5.415277777777778,-5.415277777777778,44
-24.833333333333332,-6.833333333333333,7.833333333333333,-12.666666666666666,6.666666666666667,-9.583333333333332,-1.3888888888888886,,-3.1666666666666665,-5.496527777777778,-5.496527777777778,45
-25.083333333333336,-6.722222222222222,8.0,-12.25,6.75,-9.38888888888889,-1.6666666666666665,,-3.416666666666667,-5.472222222222222,-5.472222222222222,46
-25.5,-6.833333333333333,7.833333333333333,-12.055555555555555,6.0,-9.944444444444443,-2.25,,-3.6666666666666665,-5.802083333333333,-5.802083333333333,47
-25.916666666666664,-6.666666666666667,7.666666666666667,-12.666666666666666,5.444444444444444,-10.708333333333334,-3.0,,-3.6666666666666665,-6.18923611111111,-6.18923611111111,48
-26.166666666666668,-6.5,7.583333333333334,-13.25,6.25,-10.833333333333334,-3.777777777777778,,-3.6666666666666665,-6.295138888888889,-6.295138888888889,49
-26.166666666666668,-6.5,7.4444444444444455,-13.583333333333332,7.25,-11.0,-4.416666666666666,,-3.75,-6.340277777777778,-6.340277777777778,50
-26.0,-6.75,6.916666666666666,-13.833333333333334,8.333333333333334,-11.25,-5.111111111111111,,-4.0,-6.461805555555556,-6.461805555555556,51
-25.833333333333332,-7.0,6.416666666666666,-13.4,8.166666666666666,-11.5,-6.333333333333333,,-3.5833333333333335,-6.633333333333334,-6.633333333333334,52
-25.833333333333332,-7.0,6.416666666666666,-13.166666666666666,7.583333333333334,-11.5,-6.75,,-3.3333333333333335,-6.697916666666666,-6.75,53
-26.38888888888889,-7.0,6.333333333333333,-13.75,7.333333333333333,-11.5,-6.583333333333334,,-3.875,-6.928819444444444,-6.928819444444444,54
-27.0,-7.541666666666667,5.9444444444444455,-14.25,7.166666666666667,-11.5,-5.888888888888889,,-5.583333333333333,-7.331597222222221,-7.331597222222221,55
-27.0,-8.333333333333334,5.166666666666666,-14.833333333333332,7.208333333333334,-11.45,-5.416666666666666,,-6.583333333333334,-7.655208333333333,-7.655208333333333,56
-26.666666666666664,-8.75,4.666666666666667,-15.5,7.041666666666667,,-5.166666666666667,,-6.75,-7.303571428571429,-7.026785714285714,57
-26.383333333333336,-9.0,4.55,-16.25,6.916666666666666,,-5.0,,-6.75,-7.416666666666669,-7.083333333333334,58
